transformed_feature,source_feature,impurity_importance,impurity_rank
categorical__payment_method_COD,payment_method,0.17880594560165547,1
numeric__price_inr,price_inr,0.13226728154427536,2
numeric__delivery_distance_km,delivery_distance_km,0.09567454153021013,3
numeric__customer_tenure_days,customer_tenure_days,0.09001289001920373,4
numeric__delivery_days,delivery_days,0.08844907146116973,5
numeric__discount_pct,discount_pct,0.08592219836361278,6
numeric__num_previous_orders,num_previous_orders,0.0630226950878971,7
numeric__num_previous_returns,num_previous_returns,0.0460257198622096,8
categorical__payment_method_Prepaid_Card,payment_method,0.04125936947340746,9
numeric__rating_given,rating_given,0.03962689264659665,10
categorical__payment_method_Prepaid_UPI,payment_method,0.036781852370532095,11
categorical__product_category_Apparel,product_category,0.024548729767922318,12
categorical__product_category_Footwear,product_category,0.017950879314483872,13
categorical__product_category_Beauty,product_category,0.013334170191053074,14
categorical__product_category_Electronics,product_category,0.013290036145716135,15
categorical__payment_method_Wallet,payment_method,0.01235449673198592,16
categorical__product_category_Home,product_category,0.010367128570659,17
numeric__is_weekend_order,is_weekend_order,0.010306101317409565,18
