transformed_feature,source_feature,permutation_importance_mean,permutation_importance_std,permutation_rank
categorical__payment_method_COD,payment_method,0.06511808938993398,0.009575704883938347,1
numeric__price_inr,price_inr,0.012398892010542418,0.005868686725265526,2
numeric__num_previous_returns,num_previous_returns,0.008706647541598927,0.001936818798257053,3
categorical__payment_method_Prepaid_UPI,payment_method,0.004730293079807551,0.0046850229768617465,4
numeric__delivery_days,delivery_days,0.003030770021061202,0.003210778968310484,5
categorical__product_category_Home,product_category,0.0023436110814750834,0.0013392628602215016,6
categorical__product_category_Apparel,product_category,0.0021027695784976595,0.003507354119427238,7
categorical__product_category_Electronics,product_category,0.001994894713341233,0.002172734158203428,8
numeric__is_weekend_order,is_weekend_order,0.00100110245741305,0.0006880186510486377,9
numeric__delivery_distance_km,delivery_distance_km,0.0005565631779223534,0.0019330312890496909,10
categorical__payment_method_Wallet,payment_method,0.0002760094993103701,0.0010933314778861717,11
numeric__discount_pct,discount_pct,-0.0005563656049093702,0.0019901103488986706,12
categorical__payment_method_Prepaid_Card,payment_method,-0.0005593292001059736,0.0055349505341934346,13
categorical__product_category_Footwear,product_category,-0.0008539105626484911,0.002333109219853206,14
numeric__rating_given,rating_given,-0.0010742044722628018,0.0020659016043575416,15
categorical__product_category_Beauty,product_category,-0.0014015829549811232,0.0011182744941485802,16
numeric__num_previous_orders,num_previous_orders,-0.0016501298054697078,0.0017396509229426376,17
numeric__customer_tenure_days,customer_tenure_days,-0.005073872549600777,0.0023477904579649825,18
