,precision,recall,f1-score,support
T-shirt/top,0.8789592760180995,0.777,0.8248407643312102,1000.0
Trouser,0.978978978978979,0.978,0.9784892446223111,1000.0
Pullover,0.8242481203007519,0.877,0.8498062015503876,1000.0
Dress,0.9076923076923077,0.826,0.8649214659685864,1000.0
Coat,0.8374331550802139,0.783,0.8093023255813954,1000.0
Sandal,0.9872476089266737,0.929,0.9572385368366821,1000.0
Shirt,0.6375,0.765,0.6954545454545454,1000.0
Sneaker,0.9115710253998118,0.969,0.9394086282113427,1000.0
Bag,0.9704724409448819,0.986,0.9781746031746031,1000.0
Ankle boot,0.9595141700404858,0.948,0.9537223340040242,1000.0
accuracy,0.8838,0.8838,0.8838,0.8838
macro avg,0.8893617083382205,0.8837999999999999,0.8851358649735088,10000.0
weighted avg,0.8893617083382205,0.8838,0.8851358649735088,10000.0
